King Order,King Acronym,King Name,Alternate Names
990,Sar,Sargon,
1060,Mu§.-Mar.,Mušezib-Marduk,
1090,Asb,Aššurbanipal,
1100,§§u,Šamaš-šum-ukīn,
1100,§§U,Šamaš-šum-ukīn,
1100,SSU,Šamaš-šum-ukīn,
1110,Kan,Kandalanu,
1130,S§I,Sin-šar-iškun,
1130,Ssi,Sin-šar-iškun,
1150,Npl,Nabopolassar,
1150,(Npl),Nabopolassar,
1150,Nbp,Nabopolassar,
1150,npl,Nabopolassar,
1160,Nbk,Nebuchadnezzar II,
1160,nbk,Nebuchadnezzar II,
1160,[Nbk],Nebuchadnezzar II,
1160,(Nbk),Nebuchadnezzar II,
1170,Ami,Amēl-Marduk,
1170,AMi,Amēl-Marduk,
1170,AMI,Amēl-Marduk,
1180,Ner,Neriglissar,
1180,Ngl,Neriglissar,
1200,Nbn,Nabonidus,
1200,<Nbn>,Nabonidus,
1200,Nbn?,,
1210,Kyr,Cyrus,
1220,Cyr/Camb,Cyrus and Cambyses,
1220,Camb/Cyr,Cyrus and Cambyses,
1230,Kyr,Cyrus,
1230,Cyr,Cyrus,
1230,Cyr?,Cyrus,
1230,kyr,Cyrus,
1230,[Kyr],Cyrus,
1240,Kam,Cambyses,
1240,Kamb,Cambyses,
1240,Camb,Cambyses,
1240,Cam,Cambyses,
1250,Bar,Bardiya,
1250,Bard,Bardiya,
1250,Barz,Bardiya,
1270,NbkIII,Nebuchadnezzar III,
1280,[Dar],Darius,
1280,[D]ar,Darius,
1290,NbkIV,Nebuchadnezzar IV,
1300,Dar,Darius,
1300,DAr,Darius,
1300,dar,Darius,
1330,§ama§eriba,Šamaš-ēriba,
1340,Xer,Xerxes,
1350,Art,Artaxerxes I,
1350,ARtI,Artaxerxes I,
1350,[Art],Artaxerxes I,
1350,ArtI,Artaxerxes I,
1360,DarII,Darius II,
1360,darII,Darius II,
1370,ArtII,Artaxerxes II,
1460,Sel,Seleucus,
1480,Ant1,Antiochus I,
?,NNN,,
?,Asr,,
?,-,,
?,(RN),,
?,[...],,
?,,,
?,[Nbn/Cyr],,
?,Nabnasz,,
?,BEI,,
?,AAI,,
?,Nb-,,
?,Npl-Nbn,,
?,nnn,,
?,Art,,
?,Hallu§u,,
?,Nabu-[?],,
?,Nb?,,
?,(Pers.),,
?,Kak,,
,,Amēl-Marduk,Amel-Marduk
,,Ashurbanipal,
,,Assur-etel-ilani,
,,Assur-nadin-shumi,
,,Bel-ibni,
,,Esarhaddon,
,,Mushezib-Marduk,
,,Sennacherib,
,,Shamash-shuma-ukin,
,,Sin-shar-ishkun,
,,Marduk-zakir-shumi II,
,,Merodach-Baladan II,
,,Nergal-ushezib,
,,Sin-sumu-lishir,
,,Sin-shumu-leshir,
,,Assur-uballit II,
,,Labashi-Marduk,
,,Cyrus II,
,,Cambyses II,
,,Bardiya (Gaumata),
,,Darius,Darius I
,,Nidintu-Bel,Nebuchadnezzar III
,Art 1,Artaxerxes I,
,Art 2,Artaxerxes II,
,Art 3,Artaxerxes III,
,Art 4,Artaxerxes IV,
,Dar 1,Darius,
,Dar 2,Darius II,
,,Arkha,Nebuchadnezzar IV
,,Xerxes I,Xerxes
,,Bel-shimanni,
,,Shamash-eriba,
,,Xerxes II,
,,Sogdianus,
,,Arses,Artaxerxes IV
,,Artaxerxes IV Arses,Artaxerxes IV
,,Darius III,
,,Alexander,Alexander III
,,Philip III Arrhidaeus,
,,Nidintu-Bel Nebuchadnezzar III,
,,Alexander IV,
,,Seleucus I Nicator,
,,Antiochus I Soter,
,,Antiochus II Theos,
,,Seleucus II Callinicus,
,,Antiochus III the Great,
,,Seleucus IV Philopator,
,,Antiochus IV Epiphanes,
,,Antiochus V Eupator,
,,Demetrius I Soter,
,,Alexander I Balas,
,,Demetrius II Nicator,
,,Mithradates I,
